k562,rpe1,cls,label
174,863,cloud,
160,860,cloud,
184,861,cloud,
168,860,cloud,
125,842,cloud,
98,820,cloud,
133,821,cloud,
61,822,cloud,
73,819,cloud,
118,819,cloud,
85,792,cloud,
107,791,cloud,
133,792,cloud,
61,791,cloud,
128,792,cloud,
76,785,cloud,
29,181,cloud,
104,130,cloud,
69,123,cloud,
76,123,cloud,
79,123,cloud,
90,124,cloud,
49,113,cloud,
45,71,cloud,
31,62,cloud,
99,61,cloud,
44,60,cloud,
72,58,cloud,
255,49,cloud,
273,50,cloud,
380,50,cloud,
387,49,cloud,
402,49,cloud,
87,54,cloud,
415,49,cloud,
249,48,cloud,
374,48,cloud,
36,32,cloud,
164,39,cloud,
190,43,cloud,
199,43,cloud,
181,45,cloud,
148,35,cloud,
51,42,cloud,
64,40,cloud,
72,40,cloud,
141,31,cloud,
151,31,cloud,
58,36,cloud,
308,18,cloud,
450,15,cloud,
11,10,cloud,
130,11,cloud,
121,13,cloud,
44,2,cloud,
32,0,cloud,
52,1,cloud,
63,0,cloud,
476,0,highlight,TRIM24
100,833,highlight,ATF4
331,4,highlight,ZEB2
107,8,highlight,REST
36,110,highlight,REL
